GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sprint1-greeter-app,app.order.validation,OrderValidationPipeline,0,32,0,4,0,9,0,4,0,2
sprint1-greeter-app,app.order.validation,ValidationResult,0,24,0,0,0,4,0,4,0,4
sprint1-greeter-app,app,Main,5,3,0,0,2,1,1,1,1,1
sprint1-greeter-app,app.instrument,InstrumentNotFoundException,9,0,0,0,4,0,2,0,2,0
sprint1-greeter-app,app.instrument,Instrument,35,28,0,0,15,12,10,7,10,7
sprint1-greeter-app,app.user,UserProfileResponse,0,67,0,0,0,5,0,2,0,2
sprint1-greeter-app,app.user,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
sprint1-greeter-app,app.user,User,25,109,0,0,11,45,7,26,7,26
sprint1-greeter-app,app.user,UserController,0,14,0,0,0,4,0,2,0,2
sprint1-greeter-app,app.user,UserService,0,19,0,0,0,5,0,3,0,3
sprint1-greeter-app,app.order.dto,OrderRequest,0,24,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.order.dto,OrderResponse,47,0,0,0,10,0,2,0,2,0
sprint1-greeter-app,app.order,OrderController,8,6,0,0,2,3,1,1,1,1
sprint1-greeter-app,app.order,Order,91,6,0,0,39,2,26,1,26,1
sprint1-greeter-app,app.order,OrderService,189,24,6,0,40,9,7,1,4,1
sprint1-greeter-app,app.market,MarketModels.Day,6,0,0,0,1,0,1,0,1,0
sprint1-greeter-app,app.market,MarketRequestException,0,4,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketModels.Stock,0,9,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketReplayService.Subscriber,9,0,0,0,1,0,1,0,1,0
sprint1-greeter-app,app.market,MarketModels.Session,0,12,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketResponses.TickPrice,0,12,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketResponses.StockSnapshot,0,21,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketLimitException,4,0,0,0,1,0,1,0,1,0
sprint1-greeter-app,app.market,MarketDataRepository,462,13,20,0,67,5,29,2,19,2
sprint1-greeter-app,app.market,MarketReplayService,415,711,45,35,70,125,44,34,11,27
sprint1-greeter-app,app.market,MarketController,41,23,2,2,6,4,5,2,3,2
sprint1-greeter-app,app.market,MarketWebConfig,0,81,0,0,0,9,0,4,0,4
sprint1-greeter-app,app.market,MarketModels.Tick,0,15,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketResponses.Snapshot,0,21,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketWebConfig.MarketRateInterceptor,7,59,2,4,2,6,2,4,0,3
sprint1-greeter-app,app.market,MarketResponses.ClockRequest,0,6,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketResponses.CandleSeries,0,18,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketReplayService.ReplayState,0,63,0,2,0,11,0,5,0,4
sprint1-greeter-app,app.market,MarketResponses.TickEvent,0,15,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketWebConfig.MarketRateInterceptor.Window,0,9,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketResponses.CalendarAvailability,0,15,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketTimeframe,9,98,1,3,2,14,2,5,1,4
sprint1-greeter-app,app.market,MarketModels.Frame,0,9,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketModels.Candle,0,21,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.market,MarketReplayService.MutableCandle,0,69,0,2,0,9,0,4,0,3
sprint1-greeter-app,app.market,MarketResponses.CandlePoint,0,21,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.holding,Holding,28,13,0,0,12,5,8,3,8,3
sprint1-greeter-app,app.order.validation.impl,TradabilityValidator,0,15,0,2,0,4,0,3,0,2
sprint1-greeter-app,app.order.validation.impl,SufficientHoldingsValidator,2,34,1,3,1,11,1,3,0,2
sprint1-greeter-app,app.order.validation.impl,AccountStatusValidator,0,13,0,2,0,4,0,3,0,2
sprint1-greeter-app,app.order.validation.impl,SufficientFundsValidator,0,26,0,4,0,7,0,4,0,2
sprint1-greeter-app,app.auth,AccountExistsResponse,0,6,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.auth,GlobalExceptionHandler,4,46,0,0,1,9,1,7,1,7
sprint1-greeter-app,app.auth,AccountExistsRequest,0,6,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.auth,ConflictException,0,4,0,0,0,2,0,1,0,1
sprint1-greeter-app,app.auth,RegisterRequest,0,30,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.auth,RegisterResponse,0,9,0,0,0,1,0,1,0,1
sprint1-greeter-app,app.auth,ForbiddenException,0,4,0,0,0,2,0,1,0,1
sprint1-greeter-app,app.auth,SecurityErrorHandler,12,44,0,0,3,12,1,3,1,3
sprint1-greeter-app,app.auth,AuthController,0,30,0,0,0,6,0,3,0,3
sprint1-greeter-app,app.auth,AuthService,0,101,0,8,0,23,0,7,0,3
sprint1-greeter-app,app.auth,SecurityConfig,0,164,0,0,0,39,0,12,0,12
sprint1-greeter-app,app.auth,AuthenticatedUser,0,32,0,2,0,7,0,4,0,3
sprint1-greeter-app,app.order.execution,Fill,35,3,0,0,15,1,10,1,10,1
sprint1-greeter-app,app.order.execution,HoldingMovement,42,3,0,0,18,1,12,1,12,1
sprint1-greeter-app,app.order.execution,CashTransaction,42,3,0,0,18,1,12,1,12,1
sprint1-greeter-app,app.order.execution,OrderExecutionService,260,24,16,0,59,9,11,1,3,1
sprint1-greeter-app,app.account,AccountNotFoundException,9,0,0,0,4,0,2,0,2,0
sprint1-greeter-app,app.account,Account,24,23,0,0,10,9,7,5,7,5
sprint1-greeter-app,app.order.audit,AuditTrailService,22,6,0,0,7,3,1,1,1,1
sprint1-greeter-app,app.order.audit,AuditTrail,35,3,0,0,15,1,10,1,10,1
